593.354,386.281
1191.920,538.162
1896.357,668.932
2617.078,769.281
3270.121,688.701
3808.358,636.140
4438.082,868.562
4994.607,979.522
5495.994,1110.071
6093.290,1424.412
6780.907,1681.159
7413.044,1551.107
7956.469,1431.821
8464.425,1463.380
8957.288,1305.211
9436.198,1077.644
10083.283,1075.544
10663.151,1239.061
11425.605,1813.108
11998.616,1804.597
12621.113,1790.318
13261.553,1711.475
13797.655,1789.463
14394.356,1647.855
15035.756,1989.747
15695.979,2275.342
16329.117,2527.821
16918.857,2312.747
17520.625,1955.878
18242.045,2138.387
18894.081,2357.735
