124.000,182.165
248.000,200.311
372.000,283.926
496.000,290.335
620.000,331.787
744.000,484.269
868.000,664.014
992.000,708.571
1116.000,643.264
1240.000,573.963
1364.000,593.916
1488.000,605.017
1612.000,532.585
1736.000,461.811
1860.000,546.361
1984.000,656.838
2108.000,770.148
2232.000,868.722
2356.000,999.504
2480.000,1029.955
2604.000,1030.264
2728.000,1030.355
2852.000,1030.568
2976.000,1031.426
3100.000,1030.912
3224.000,1030.962
3348.000,1031.645
3472.000,1034.381
3596.000,1003.715
3720.000,987.844
