5919.000,182.165
18042.000,200.311
29702.000,283.926
42571.000,290.335
55868.000,331.787
84449.000,484.269
106557.000,664.014
131040.000,708.571
158118.000,643.264
178028.000,573.963
202280.000,593.916
224326.000,605.017
246322.000,532.585
273149.000,461.811
309403.000,546.361
336768.000,656.838
373078.000,770.148
418466.000,868.722
459133.000,999.504
502855.000,1029.955
556504.000,1030.264
598509.000,1030.355
644887.000,1030.568
705043.000,1031.426
760844.000,1030.912
810283.000,1030.962
861305.000,1031.645
903822.000,1034.381
938956.000,1003.715
974628.000,987.844
