27670.000,706.825
65011.000,847.633
103827.000,966.814
140641.000,994.212
177878.000,925.565
214512.000,914.134
251405.000,997.813
292185.000,1021.309
332544.000,1027.160
371632.000,932.134
402255.000,809.898
441114.000,827.571
478705.000,911.383
513227.000,1057.472
549650.000,1121.168
590155.000,1055.695
629618.000,960.002
668090.000,1001.363
705453.000,1034.922
743855.000,1087.375
783652.000,1143.779
819000.000,1110.485
855193.000,1113.027
892659.000,1014.973
931976.000,1059.498
963374.000,1223.088
994296.000,1031.685
